GEO,FID,HLTHCNTYPE,HLTHCNNUM,BHCMIS,BPHCNUM,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,OPHOURS,SETTINGID,SETTNGDESC,STATUSID,STATUSDESC,MEDICRENUM,NPINUM,LOCIDNUM,LOCTYPE,TYPEIDNUM,TYPEDESC,OPIDNUM,OPDESC,OPSCHEDNUM,OPSCHDDESC,OPCLNDRKEY,OPCLNDR,SITEADDED,ADMNAME,ADMSTREET,ADMCITY,ADMSTATE,ADMZIP,ORGTYPE,XCOORD,YCOORD,MX100K,MXBRDRCNTY,FIPS,COUNTYNAME,COUNTYEQIV,COUNTYDESC,HHSRGNCODE,HHSRGNNAME,STATEFIPS,STATENAME,FIPSCNGDST,CNGDISTNUM,CNGDSTNAME,CNGDSTCODE,USREPNAME,SENATOR1,SENATOR2,CREATEDATE,BHCMISID,GRANTNUM,PATIENTS,MALE,FEMALE,UNDER6,OVER64,INDIAN,CHINESE,FILIPINO,JAPANESE,KOREAN,VIETNAMESE,OTHERASIAN,ASIANHISP,ASIANNOHIS,TOTALASIAN,HAWAIIAN,PACISLAND,GUAMANIAN,SAMOAN,HAWPIHISP,HAWPINOHIS,TOTALHAWPI,BLACKHISP,BLACKNOHIS,TOTALBLACK,AIAKHISP,AIAKNOHISP,TOTALAIAK,WHITEHISP,WHITENOHIS,TOTALWHITE,MLTRCEHISP,MLTRCENOHI,TOTALMLTRC,NORCEHISP,NORCENOHIS,NORCENOETH,TOTALNORAC,TOTALHISP,TOTALNOHIS,TOTALNOETH,NONENGLISH,FPL100BLOW,FPL101_150,FPL151_200,FPLOVER200,FPLUNKNOWN,UNINSURED,MEDICAID,MEDICARE,PUBLICINS,PRIVATEINS,MIGSEASAG,HOMELESS,SCHOOLBASE,VETERAN,HIV,TUBERC,SEXTRANSMT,HEPB,HEPC,COVID,ASTHMA,CHRONLWRSP,ACUTERESP,ABNORMBRST,ABNORMCERV,DIABETES,HARTDISEAS,HYPERTENSN,DERMATITIS,DEHYDRATN,EXPOSURE,OBESITY,OTITIS,PERINATAL,NUTRDEFIC,ALCOHOL,SUBSTANCE,TOBACCO,DEPRESSN,ANXIETY,ATTNDEF,MENTLDSORD,FLUVAC,CONTRACPT,EYEEXAM,EMERGSRVCS,ORALEXAMS,ORALSURG,REHAB,FOODINSCUR,HOUSINSCUR,FINCLSTRAN,LACKTRANSP,MOUDOPIOID,LATITUDE,LONGITUDE
"{
  ""coordinates"": [
    -9.006310495999996e+01,
    3.228360755000006e+01
  ],
  ""type"": ""Point""
}",3943,Federally Qualified Health Center (FQHC),H80CS00487,042440,BPS-H80-038174,"Family Health Care Clinic, Inc. -Mobile unit4",4635 Highway 80 E,Pearl,MS,39208-4226,601-825-7280, ,8,7,All Other Clinic Types,1,Active, ,0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/28/2024,"Family Health Care Clinic, Inc.",4635 Highway 80 E,Pearl,MS,39208-4226,"Corporate Entity, Federal Tax Exempt",-90.06310496,32.28360755,N,N,28121,Rankin County,Rankin,County,04,Region 4,28,Mississippi,2803,3,Mississippi District 03,MS-03,Michael Guest,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042440,H80CS00487,40994,15625,25369,3147,3840,0,0,0,0,0,0,469,260,216,476,19,0,0,0,0,24,30,263,19910,20173,151,36,187,665,14417,15082,61,341,402,3681,709,254,4644,5087,35653,254,3499,24542,5829,2559,3043,5021,14582,11884,4639,0,9879,0,110,490,0,65,0,671,33,227,816,994,897,0,348,222,4239,970,12747,572,103,16,27601,298,67,81,292,349,3731,2219,2189,278,1444,2289,1207,0,1844,1025,657,228,1332,1832,18110,2517,0,32.28360755,-90.06310496
"{
  ""coordinates"": [
    -9.031339478999995e+01,
    3.219042691000004e+01
  ],
  ""type"": ""Point""
}",3333,Federally Qualified Health Center (FQHC),H80CS00084,040750,BPS-H80-014170,Byram Middle School-based Clinic,2009 Byram Bulldog Blvd,Terry,MS,39170-8632,601-364-5142, ,40,2,School,1,Active,251027,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,0,Unknown,08/07/2014,CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION INC,3502 W Northside Dr,Jackson,MS,39213-4454,"Corporate Entity, Federal Tax Exempt",-90.31339479,32.19042691,N,N,28049,Hinds County,Hinds,County,04,Region 4,28,Mississippi,2802,2,Mississippi District 02,MS-02,Bennie G. Thompson,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,040750,H80CS00084,50003,17448,32555,3399,6228,0,0,0,0,0,0,201,31,189,220,0,18,0,0,0,17,27,218,42542,42760,705,87,792,78,2741,2819,53,172,225,1863,650,647,3160,2958,46398,647,2740,31439,4766,1820,2480,9498,13837,18168,9839,0,8159,136,4955,5088,310,138,0,1616,20,67,525,1642,785,0,560,613,5671,1267,12760,1116,53,0,23581,650,55,251,391,505,3014,1704,1956,181,1529,3702,3478,915,2897,2882,1207,362,3215,8739,951,3246,0,32.19042691,-90.31339479
"{
  ""coordinates"": [
    -9.243196129999997e+01,
    3.133436033000005e+01
  ],
  ""type"": ""Point""
}",14216,Federally Qualified Health Center (FQHC),H80CS12857,06E00021,BPS-H80-030984,Pineville High School Based Clinic,1511 Line St,Pineville,LA,71360-5033,318-648-0375, ,40,2,School,1,Active,191040,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/09/2020,WINN COMMUNITY HEALTH CENTER INC,431 W Lafayette St,Winnfield,LA,71483-3463,"Corporate Entity, Federal Tax Exempt",-92.4319613,31.33436033,N,N,22079,Rapides Parish,Rapides,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,06E00021,H80CS12857,34454,14380,20074,2247,2985,0,0,0,0,0,0,180,0,181,183,30,0,0,0,24,17,41,81,13030,13111,54,112,166,673,18504,19177,0,0,0,578,886,312,1776,1412,32730,312,257,15538,1487,773,843,15813,1734,20554,3847,0,8312,1125,1496,12881,84,24,16,255,0,64,1038,981,1280,26,277,25,2462,951,5217,796,105,22,14765,1179,42,236,192,682,1287,3332,4121,2158,2717,3060,799,0,1568,4971,2327,278,239,211,7320,477,187,31.33436033,-92.4319613
"{
  ""coordinates"": [
    -9.379472875000000e+01,
    3.240208173000008e+01
  ],
  ""type"": ""Point""
}",16231,Federally Qualified Health Center (FQHC),H80CS26579,06E01083,BPS-H80-032812,CASSE - Shreveport Administration,2120 Bert Kouns Industrial Loop STE H,Shreveport,LA,71118-3354,318-688-3350,www.casseusa.com,35,7,All Other Clinic Types,1,Active, ,0,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,07/27/2021,COUNCIL FOR THE ADVANCEMENT OF SOCIAL SERVICES AND EDUCATION,2120 Bert Kouns Industrial Loop STE A,Shreveport,LA,71118-3351,"Corporate Entity, Federal Tax Exempt",-93.79472875,32.40208173,N,N,22017,Caddo Parish,Caddo,Parish,06,Region 6,22,Louisiana,2204,4,Louisiana District 04,LA-04,Mike Johnson,Bill Cassidy,John Kennedy,08/21/2024,06E01083,H80CS26579,10950,3297,7653,678,291,23,0,0,0,0,0,92,25,90,115,0,0,0,0,0,16,20,178,5328,5506,0,52,61,134,3786,3920,46,73,119,242,920,47,1209,638,10265,47,146,4588,4147,516,1241,458,435,8758,511,0,1241,20,40,0,0,0,0,185,0,0,64,128,187,63,110,69,570,83,931,104,0,0,2649,125,17,45,16,49,76,493,606,164,263,530,1055,0,58,4627,967,106,0,0,0,0,16,32.40208173,-93.79472875
"{
  ""coordinates"": [
    -8.998763835999993e+01,
    2.995665351000003e+01
  ],
  ""type"": ""Point""
}",13389,Federally Qualified Health Center (FQHC),H80CS00867,0613350,BPS-H80-012385,ST Bernard Community Health Center,8050 W Judge Perez Dr,Chalmette,LA,70043-1734,504-281-2800,www.accesshealthla.org,55,7,All Other Clinic Types,1,Active,191891,1174828362,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/27/2013,ACCESS HEALTH LOUISIANA,2900 Indiana Ave,Kenner,LA,70065-4605,"Corporate Entity, Federal Tax Exempt",-89.98763836,29.95665351,N,N,22087,St. Bernard Parish,St. Bernard,Parish,06,Region 6,22,Louisiana,2201,1,Louisiana District 01,LA-01,Steve Scalise,Bill Cassidy,John Kennedy,08/21/2024,0613350,H80CS00867,56382,23991,32391,2427,3790,0,0,0,0,0,0,643,18,631,649,0,108,0,0,53,56,109,445,16357,16802,87,248,335,5409,21181,26590,165,783,948,6640,1126,3183,10949,12817,40382,3183,10182,22871,6359,2554,2349,22249,11408,30297,4318,0,10354,319,850,15894,882,179,23,492,28,289,863,2673,1171,0,683,199,5111,1564,10189,860,109,19,26486,1286,131,909,700,1515,3148,9074,11864,7657,7814,4338,3543,0,619,960,317,120,683,573,1131,1003,152,29.95665351,-89.98763836
"{
  ""coordinates"": [
    -9.205046433999995e+01,
    3.107904328000006e+01
  ],
  ""type"": ""Point""
}",13463,Federally Qualified Health Center (FQHC),H80CS00867,0613350,BPS-H80-036463,Avoyelles Public Charter SBHC,201 Longfellow Rd,Mansura,LA,71350-4292,504-575-3700,https://accesshealthla.org,35,2,School,1,Active, ,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/20/2023,ACCESS HEALTH LOUISIANA,2900 Indiana Ave,Kenner,LA,70065-4605,"Corporate Entity, Federal Tax Exempt",-92.05046434,31.07904328,N,N,22009,Avoyelles Parish,Avoyelles,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,0613350,H80CS00867,56382,23991,32391,2427,3790,0,0,0,0,0,0,643,18,631,649,0,108,0,0,53,56,109,445,16357,16802,87,248,335,5409,21181,26590,165,783,948,6640,1126,3183,10949,12817,40382,3183,10182,22871,6359,2554,2349,22249,11408,30297,4318,0,10354,319,850,15894,882,179,23,492,28,289,863,2673,1171,0,683,199,5111,1564,10189,860,109,19,26486,1286,131,909,700,1515,3148,9074,11864,7657,7814,4338,3543,0,619,960,317,120,683,573,1131,1003,152,31.07904328,-92.05046434
"{
  ""coordinates"": [
    -8.904285366999993e+01,
    3.044056023000007e+01
  ],
  ""type"": ""Point""
}",3900,Federally Qualified Health Center (FQHC),H80CS00188,042430,BPS-H80-038716,Coastal Family Health Center Corporate Office,10467 Corporate Dr,Gulfport,MS,39503-4634,228-374-2494,www.coastalfamilyhealth.org,45,7,All Other Clinic Types,1,Active, ,0,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,06/03/2024,COASTAL FAMILY HEALTH CENTER,1046 Division St,Biloxi,MS,39530-2935,"Corporate Entity, Federal Tax Exempt",-89.04285367,30.44056023,N,N,28047,Harrison County,Harrison,County,04,Region 4,28,Mississippi,2804,4,Mississippi District 04,MS-04,Mike Ezell,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042430,H80CS00188,36247,15100,21147,2421,4031,0,0,0,0,0,44,618,45,634,679,0,216,0,0,168,65,233,154,10034,10188,20,60,80,847,17649,18496,1624,782,2406,1202,330,2633,4165,4060,29554,2633,3561,9547,1600,549,382,24169,10438,10696,4748,0,10352,306,4005,5809,532,549,0,487,88,483,875,1099,1311,0,583,201,4542,1206,10833,604,54,0,17690,1245,56,163,442,887,2665,4203,3379,1484,2328,3246,1214,3387,844,2609,914,820,6553,2993,6484,297,0,30.44056023,-89.04285367
"{
  ""coordinates"": [
    -9.009722667999995e+01,
    2.988928355000007e+01
  ],
  ""type"": ""Point""
}",16280,Federally Qualified Health Center (FQHC),H80CS28963,06E01198,BPS-H80-029898,Priority Health Care - Administration,"4700 Wichers Dr, Ste 306",Marrero,LA,70072-3054,504-309-6522, ,0,7,All Other Clinic Types,1,Active, ,0,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,11/04/2019,PRIORITY HEALTH CARE,"4700 Wichers Dr, Ste 306",Marrero,LA,70072-3054,"Corporate Entity, Federal Tax Exempt",-90.09722668,29.88928355,N,N,22051,Jefferson Parish,Jefferson,Parish,06,Region 6,22,Louisiana,2202,2,Louisiana District 02,LA-02,Troy A. Carter,Bill Cassidy,John Kennedy,08/21/2024,06E01198,H80CS28963,1677,722,955,0,60,0,0,0,0,0,0,26,0,26,26,0,0,0,0,0,21,21,0,1114,1114,0,0,0,0,414,414,0,26,26,0,49,21,70,0,1656,21,66,119,27,21,41,1469,92,1030,185,0,368,0,59,0,0,394,0,154,0,32,26,42,25,0,27,0,176,34,483,23,0,0,623,0,0,0,51,128,144,443,484,140,110,141,23,0,0,0,0,0,0,0,0,0,24,29.88928355,-90.09722668
"{
  ""coordinates"": [
    -9.110329000000000e+01,
    3.036830114000003e+01
  ],
  ""type"": ""Point""
}",7787,Federally Qualified Health Center (FQHC),H80CS00370,063710,BPS-H80-032783,Southeast Community Health Systems -Women&#39;s Healthcare,8913 Bluebonnet Blvd,Baton Rouge,LA,70810-2974,225-306-2000, ,40,7,All Other Clinic Types,1,Active, ,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/19/2021,SOUTHEAST COMMUNITY HEALTH SYSTEMS,6351 Main St,Zachary,LA,70791-4038,"Corporate Entity, Federal Tax Exempt",-91.10329,30.36830114,N,N,22033,East Baton Rouge Parish,East Baton Rouge,Parish,06,Region 6,22,Louisiana,2206,6,Louisiana District 06,LA-06,Garret Graves,Bill Cassidy,John Kennedy,08/21/2024,063710,H80CS00370,9749,3543,6206,245,1141,0,0,0,0,0,0,23,0,27,33,33,0,0,0,31,0,36,34,6505,6539,29,23,52,68,2291,2359,0,52,60,391,208,71,670,567,9111,71,408,707,118,49,42,8833,977,6004,1316,0,1451,133,0,802,93,0,0,136,0,28,214,200,171,0,128,76,1197,214,1936,190,0,0,1424,94,0,27,69,112,285,945,1151,385,720,443,585,0,447,1195,378,155,95,316,201,193,0,30.36830114,-91.10329
"{
  ""coordinates"": [
    -9.123390494999995e+01,
    3.191423267000004e+01
  ],
  ""type"": ""Point""
}",12822,Federally Qualified Health Center (FQHC),H80CS06450,0622350,BPS-H80-032018,Tensas Health Mobile,402 Levee Rd,Saint Joseph,LA,71366-6661,318-766-1967,www.tensashealth.com,16,7,All Other Clinic Types,1,Active, ,0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/11/2021,TENSAS COMMUNITY HEALTH CENTER,402 Levee Rd,Saint Joseph,LA,71366-6661,"Corporate Entity, Federal Tax Exempt",-91.23390495,31.91423267,N,N,22107,Tensas Parish,Tensas,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,0622350,H80CS06450,4329,1681,2648,95,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,1746,0,0,0,19,2430,2449,0,0,16,39,45,17,101,75,4237,17,56,379,56,35,87,3772,689,1957,458,0,1225,0,0,235,24,0,0,0,0,0,174,56,76,0,31,0,277,137,710,69,0,0,1138,83,0,0,25,24,352,372,637,148,216,112,84,0,548,1372,833,420,0,0,0,0,0,31.91423267,-91.23390495
"{
  ""coordinates"": [
    -8.986938441999996e+01,
    3.196320966000006e+01
  ],
  ""type"": ""Point""
}",3937,Federally Qualified Health Center (FQHC),H80CS00487,042440,BPS-H80-004916,"Family Health Care Clinic, Inc. --MENDENHALL",401 Main St N,Mendenhall,MS,39114-3303,601-847-3306,www.familyhealthcareclinic.net,44,7,All Other Clinic Types,1,Active,251863,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/01/1992,"Family Health Care Clinic, Inc.",4635 Highway 80 E,Pearl,MS,39208-4226,"Corporate Entity, Federal Tax Exempt",-89.86938442,31.96320966,N,N,28127,Simpson County,Simpson,County,04,Region 4,28,Mississippi,2803,3,Mississippi District 03,MS-03,Michael Guest,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042440,H80CS00487,40994,15625,25369,3147,3840,0,0,0,0,0,0,469,260,216,476,19,0,0,0,0,24,30,263,19910,20173,151,36,187,665,14417,15082,61,341,402,3681,709,254,4644,5087,35653,254,3499,24542,5829,2559,3043,5021,14582,11884,4639,0,9879,0,110,490,0,65,0,671,33,227,816,994,897,0,348,222,4239,970,12747,572,103,16,27601,298,67,81,292,349,3731,2219,2189,278,1444,2289,1207,0,1844,1025,657,228,1332,1832,18110,2517,0,31.96320966,-89.86938442
"{
  ""coordinates"": [
    -9.217719879999997e+01,
    3.248698923000005e+01
  ],
  ""type"": ""Point""
}",13320,Federally Qualified Health Center (FQHC),H80CS08764,0627740,BPS-H80-015186,CommuniHealth Services Riser Middle School-Based Health Center,100 Price Dr,West Monroe,LA,71292-6315,318-325-0973,www.communihealth.org,40,2,School,1,Active,191944,1073993580,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/19/2015,MOREHOUSE COMMUNITY MEDICAL CENTERS INC,314 N Franklin St,Bastrop,LA,71220-3846,"Corporate Entity, Federal Tax Exempt",-92.1771988,32.48698923,N,N,22073,Ouachita Parish,Ouachita,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,0627740,H80CS08764,16822,7414,9408,2022,1605,0,0,0,0,0,0,101,0,97,101,0,0,0,0,0,0,0,112,7941,8053,0,47,56,351,7285,7636,28,298,326,347,141,151,639,852,15819,151,317,6262,1509,815,1415,6821,1437,10516,1883,0,2982,99,72,5438,264,0,0,317,0,76,980,991,270,0,135,16,1141,385,2659,344,32,0,8345,1031,161,420,74,227,2482,1357,2051,1132,1501,896,312,0,1000,2244,786,360,76,191,771,270,17,32.48698923,-92.1771988
"{
  ""coordinates"": [
    -9.149236972999995e+01,
    3.246226233000004e+01
  ],
  ""type"": ""Point""
}",14814,Federally Qualified Health Center (FQHC),H80CS24167,06E00261,BPS-H80-012086,Delhi Elementary & High School-Based Health Center,509 Main St,Delhi,LA,71232-2537,318-878-8965,http://www.dchc-delhi.com,40,2,School,1,Active,191903,1588917660,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,10/17/2012,HOSPITAL SERVICE DISTRICT 1 A,407 Cincinnati St,Delhi,LA,71232-3007,U.S. Government Entity,-91.49236973,32.46226233,N,N,22083,Richland Parish,Richland,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,06E00261,H80CS24167,8186,3651,4535,355,1514,0,0,0,0,0,0,16,0,16,18,0,16,0,0,0,0,16,0,3377,3390,0,0,0,85,4423,4508,0,18,20,39,31,154,224,153,7879,154,0,2382,786,506,829,3683,1286,3581,1609,0,1710,18,0,1338,165,0,0,33,0,0,200,288,293,0,63,0,785,604,1865,134,25,0,2046,159,0,27,89,360,447,1373,1535,587,956,687,266,0,914,1357,687,0,2,1,0,0,242,32.46226233,-91.49236973
"{
  ""coordinates"": [
    -9.075840121999994e+01,
    2.960652778000008e+01
  ],
  ""type"": ""Point""
}",16340,Federally Qualified Health Center (FQHC) Look-Alike,LALCS47057,06E01459,BPS-LAL-036293,Life Coast Community Health Center Houma,605 Enterprise Dr STE C,Houma,LA,70360-5405,985-360-3755, ,42,7,All Other Clinic Types,1,Active, ,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/10/2023,"LIFE COAST COMMUNITY HEALTH CENTER, INC.",1101 AUDUBON AVE STE S1,THIBODAUX,LA,70301, ,-90.75840122,29.60652778,N,N,22109,Terrebonne Parish,Terrebonne,Parish,06,Region 6,22,Louisiana,2206,6,Louisiana District 06,LA-06,Garret Graves,Bill Cassidy,John Kennedy,08/21/2024,06E01459,LALCS47057,3840,728,3112,0,268,0,0,0,0,0,0,0,0,18,19,0,0,0,0,0,0,0,0,896,897,0,138,143,82,2611,2693,0,49,51,0,17,0,36,97,3729,0,43,206,108,85,183,3258,37,1898,363,0,1540,0,0,0,0,0,0,48,0,0,0,54,70,0,103,27,375,88,609,91,0,0,359,0,0,0,32,127,119,500,806,257,249,68,347,0,106,349,54,0,0,0,0,0,38,29.60652778,-90.75840122
"{
  ""coordinates"": [
    -8.971972751999992e+01,
    3.363020046000003e+01
  ],
  ""type"": ""Point""
}",3951,Federally Qualified Health Center (FQHC),H80CS00487,042440,BPS-H80-009014,"Family Health Care Clinic, Duckhill--Head Start",620 Carrollton St,Duck Hill,MS,38925-9416,662-283-2505, ,4,7,All Other Clinic Types,1,Active,251984,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,09/01/2009,"Family Health Care Clinic, Inc.",4635 Highway 80 E,Pearl,MS,39208-4226,"Corporate Entity, Federal Tax Exempt",-89.71972752,33.63020046,N,N,28097,Montgomery County,Montgomery,County,04,Region 4,28,Mississippi,2802,2,Mississippi District 02,MS-02,Bennie G. Thompson,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042440,H80CS00487,40994,15625,25369,3147,3840,0,0,0,0,0,0,469,260,216,476,19,0,0,0,0,24,30,263,19910,20173,151,36,187,665,14417,15082,61,341,402,3681,709,254,4644,5087,35653,254,3499,24542,5829,2559,3043,5021,14582,11884,4639,0,9879,0,110,490,0,65,0,671,33,227,816,994,897,0,348,222,4239,970,12747,572,103,16,27601,298,67,81,292,349,3731,2219,2189,278,1444,2289,1207,0,1844,1025,657,228,1332,1832,18110,2517,0,33.63020046,-89.71972752
"{
  ""coordinates"": [
    -9.412977571999994e+01,
    3.008491105000007e+01
  ],
  ""type"": ""Point""
}",13171,Federally Qualified Health Center (FQHC),H80CS07502,0625340,BPS-H80-017188,Legacy Central Beaumont,450 N 11th St,Beaumont,TX,77702-1804,409-242-2577,www.legacycommunityhealth.org,45,7,All Other Clinic Types,1,Active,741864,1184029969,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/17/2015,LEGACY COMMUNITY HEALTH SERVICES INC,1415 California St,Houston,TX,77006-2602,"Corporate Entity, Federal Tax Exempt",-94.12977572,30.08491105,N,N,48245,Jefferson County,Jefferson,County,06,Region 6,48,Texas,4836,36,Texas District 36,TX-36,Brian Babin,John Cornyn,Ted Cruz,08/21/2024,0625340,H80CS07502,164700,67814,96886,30354,6796,32,0,0,0,0,0,3307,274,3072,3346,0,62,0,0,24,41,65,3064,28638,31702,586,349,935,90334,17647,107981,1311,1665,2976,6496,1817,9382,17695,102089,53229,9382,80304,61068,15562,7116,8481,72473,56877,68689,6283,6359,26492,421,686,6332,1157,7653,102,6714,278,430,1460,3641,1179,0,1498,2472,9190,1740,16579,2657,142,0,30984,5219,1569,2050,1182,1870,2422,13233,16559,10687,15486,24365,17836,2193,2110,6225,910,1106,4459,1462,3240,2274,0,30.08491105,-94.12977572
"{
  ""coordinates"": [
    -8.853134625999996e+01,
    3.114476546000003e+01
  ],
  ""type"": ""Point""
}",3914,Federally Qualified Health Center (FQHC),H80CS00188,042430,BPS-H80-019158,SBHC - Leakesville Elementary,175 Annex Rd,Leakesville,MS,39451-9602,601-394-5093, ,12,2,School,1,Active,251065,1700979960,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/25/2017,COASTAL FAMILY HEALTH CENTER,1046 Division St,Biloxi,MS,39530-2935,"Corporate Entity, Federal Tax Exempt",-88.53134626,31.14476546,N,N,28041,Greene County,Greene,County,04,Region 4,28,Mississippi,2804,4,Mississippi District 04,MS-04,Mike Ezell,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042430,H80CS00188,36247,15100,21147,2421,4031,0,0,0,0,0,44,618,45,634,679,0,216,0,0,168,65,233,154,10034,10188,20,60,80,847,17649,18496,1624,782,2406,1202,330,2633,4165,4060,29554,2633,3561,9547,1600,549,382,24169,10438,10696,4748,0,10352,306,4005,5809,532,549,0,487,88,483,875,1099,1311,0,583,201,4542,1206,10833,604,54,0,17690,1245,56,163,442,887,2665,4203,3379,1484,2328,3246,1214,3387,844,2609,914,820,6553,2993,6484,297,0,31.14476546,-88.53134626
"{
  ""coordinates"": [
    -8.808280103999994e+01,
    3.072997381000005e+01
  ],
  ""type"": ""Point""
}",5938,Federally Qualified Health Center (FQHC),H80CS00099,044710,BPS-H80-002124,DR. ALBERT THOMAS MEDICAL CENTER,510 S Wilson Ave,Mobile,AL,36610-3912,251-301-7011,www.franklinprimary.org,40,7,All Other Clinic Types,1,Active,011009,1881015261,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/1987,"FRANKLIN PRIMARY HEALTH CENTER, INC.",1303 Dr Martin L King Jr Ave,Mobile,AL,36603-5341,"Corporate Entity, Federal Tax Exempt",-88.08280104,30.72997381,N,N,01097,Mobile County,Mobile,County,04,Region 4,01,Alabama,0101,1,Alabama District 01,AL-01,Jerry L. Carl,Tommy Tuberville,Tommy Tuberville,08/21/2024,044710,H80CS00099,35393,15151,20242,2764,5470,26,0,0,0,0,0,62,0,97,100,0,0,0,0,0,0,0,69,21698,21767,0,87,94,1997,8131,10128,0,149,153,228,671,2243,3142,2312,30838,2243,2058,24054,1673,785,711,8170,15578,9011,4583,0,6218,285,1749,0,334,348,0,548,30,312,243,1369,1644,20,594,241,4997,1859,11110,626,54,29,19651,138,23,73,579,797,1698,2345,2783,352,1461,1979,952,2522,3952,156,1380,0,38,31,124,28,0,30.72997381,-88.08280104
"{
  ""coordinates"": [
    -9.005626356000000e+01,
    3.001846913000003e+01
  ],
  ""type"": ""Point""
}",16188,Federally Qualified Health Center (FQHC),H80CS24198,06E00523,BPS-H80-031195,DePaul Community Health Centers - Pierre Capdua Charter School,5800 Saint Roch Ave,New Orleans,LA,70122-5336,504-667-4327,https://www.dcsno.org/,40,2,School,1,Active, ,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/17/2020,MARILLAC COMMUNITY HEALTH CENTERS,3201 S Carrollton Ave,New Orleans,LA,70118-4307,"Corporate Entity, Federal Tax Exempt",-90.05626356,30.01846913,N,N,22071,Orleans Parish,Orleans,Parish,06,Region 6,22,Louisiana,2202,2,Louisiana District 02,LA-02,Troy A. Carter,Bill Cassidy,John Kennedy,08/21/2024,06E00523,H80CS24198,44602,18392,26210,4274,4577,32,0,0,0,0,24,198,18,251,269,21,210,0,0,156,76,232,964,27658,28622,470,45,515,8065,5006,13071,0,22,23,386,392,1092,1870,10060,33450,1092,9011,10643,494,140,579,32746,7176,28411,3896,0,5119,1558,360,1689,104,225,76,530,38,226,506,2832,1105,0,679,297,5270,1152,11726,1982,99,0,23748,929,153,400,420,1069,3731,5505,4012,1259,3665,5659,211,0,1470,3294,1293,1495,360,62,6,76,114,30.01846913,-90.05626356
