GEO,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
"{
  ""coordinates"": [
    -8.591224660971842e+01,
    3.253390982963599e+01
  ],
  ""type"": ""Point""
}",17,0003336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,1225,(334) 283-6541,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.53390983,-85.91224661,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://chal.org/,H2602,NOT AVAILABLE,01,NON-PROFIT,-999,69,LEVEL III,Y
"{
  ""coordinates"": [
    -8.625548757972032e+01,
    3.316456022992609e+01
  ],
  ""type"": ""Point""
}",18,0003435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,NOT AVAILABLE,(256) 401-4534,GENERAL ACUTE CARE,OPEN,168,TALLADEGA,01121,USA,33.16456023,-86.25548758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,http://www.cvhealth.net,H6102,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,168,LEVEL III,N
"{
  ""coordinates"": [
    -8.626504570015744e+01,
    3.169354406985757e+01
  ],
  ""type"": ""Point""
}",19,0003536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 335-1154,GENERAL ACUTE CARE,OPEN,65,CRENSHAW,01041,USA,31.69354407,-86.2650457,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,NOT AVAILABLE,H2101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,65,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.657217153999343e+01,
    3.469361140007422e+01
  ],
  ""type"": ""Point""
}",20,0008435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 429-5000,GENERAL ACUTE CARE,OPEN,180,MADISON,01089,USA,34.6936114,-86.57217154,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2013-10-02 00:00:00.000,NOT AVAILABLE,H4501,NOT AVAILABLE,01,PROPRIETARY,-999,180,LEVEL III,N
"{
  ""coordinates"": [
    -8.628134482969057e+01,
    3.232346326983063e+01
  ],
  ""type"": ""Point""
}",21,0091036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 286-3116,PSYCHIATRIC,OPEN,60,MONTGOMERY,01101,USA,32.32346327,-86.28134483,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2015-02-03 00:00:00.000,NOT AVAILABLE,H5111,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,60,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.680572957026041e+01,
    3.420132719985812e+01
  ],
  ""type"": ""Point""
}",22,0003735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,NOT AVAILABLE,(256) 737-2598,GENERAL ACUTE CARE,OPEN,150,CULLMAN,01043,USA,34.2013272,-86.80572957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,http://www.crmchospital.com,H2201,NOT AVAILABLE,01,NON-PROFIT,-999,150,LEVEL III,Y
"{
  ""coordinates"": [
    -8.707349930031924e+01,
    3.112703391008980e+01
  ],
  ""type"": ""Point""
}",23,0003836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,NOT AVAILABLE,(251) 867-8061,GENERAL ACUTE CARE,OPEN,91,ESCAMBIA,01053,USA,31.12703391,-87.0734993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.dwmmh.org,H2703,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,91,LEVEL III,Y
"{
  ""coordinates"": [
    -8.563208804020148e+01,
    3.145157665969572e+01
  ],
  ""type"": ""Point""
}",24,0000836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,NOT AVAILABLE,(334) 774-2224,GENERAL ACUTE CARE,OPEN,89,DALE,01045,USA,31.45157666,-85.63208804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.dalemedical.org,H2301,NOT AVAILABLE,01,GOVERNMENT - LOCAL,-999,89,LEVEL III,Y
"{
  ""coordinates"": [
    -8.752741946955391e+01,
    3.320482052971852e+01
  ],
  ""type"": ""Point""
}",25,0000935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-7147,GENERAL ACUTE CARE,OPEN,583,TUSCALOOSA,01125,USA,33.20482053,-87.52741947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.dchsystem.com,H6301,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,583,LEVEL III,Y
"{
  ""coordinates"": [
    -8.697148153039348e+01,
    3.459034408967094e+01
  ],
  ""type"": ""Point""
}",26,0003935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,273,MORGAN,01103,USA,34.59034409,-86.97148153,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.decaturgeneral.org/,H5202,NOT AVAILABLE,01,PROPRIETARY,-999,273,LEVEL III,Y
"{
  ""coordinates"": [
    -8.701580866003481e+01,
    3.457689678976268e+01
  ],
  ""type"": ""Point""
}",27,0001035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,120,MORGAN,01103,USA,34.57689679,-87.01580866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-10-02 00:00:00.000,http://www.decaturgeneral.org/,H5201,NOT AVAILABLE,01,PROPRIETARY,-999,120,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.702541659025781e+01,
    3.458368231995269e+01
  ],
  ""type"": ""Point""
}",28,0001135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,PSYCHIATRIC,OPEN,64,MORGAN,01103,USA,34.58368232,-87.02541659,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2013-09-03 00:00:00.000,http://www.decaturgeneral.org/,H5206,NOT AVAILABLE,01,PROPRIETARY,-999,64,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.575621836995353e+01,
    3.444127983984134e+01
  ],
  ""type"": ""Point""
}",29,0004135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,1608,(256) 845-3150,GENERAL ACUTE CARE,OPEN,134,DEKALB,01049,USA,34.44127984,-85.75621837,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.dekalbregional.com,H2501,NOT AVAILABLE,01,PROPRIETARY,-999,134,LEVEL III,Y
"{
  ""coordinates"": [
    -8.516870266956774e+01,
    3.282459810991788e+01
  ],
  ""type"": ""Point""
}",30,0005036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,3666,(334) 756-9180,GENERAL ACUTE CARE,OPEN,115,CHAMBERS,01017,USA,32.82459811,-85.16870267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.lanierhospital.com,H0904,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,115,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.540447479009190e+01,
    3.263852487002269e+01
  ],
  ""type"": ""Point""
}",31,0001236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,NOT AVAILABLE,(334) 749-3411,GENERAL ACUTE CARE,OPEN,314,LEE,01081,USA,32.63852487,-85.40447479,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.eamc.org,H4101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,314,LEVEL III,Y
"{
  ""coordinates"": [
    -8.789513909985672e+01,
    3.063528914977344e+01
  ],
  ""type"": ""Point""
}",32,0004336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,66,BALDWIN,01003,USA,30.63528915,-87.8951391,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,http://www.altapointe.org/eastpointe.php,H4913,NOT AVAILABLE,01,PROPRIETARY,-999,66,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.618639644980955e+01,
    3.255226697013318e+01
  ],
  ""type"": ""Point""
}",33,0004536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",WETUMPKA,AL,36092,NOT AVAILABLE,(256) 825-7821,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.55226697,-86.18639645,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-09-06 00:00:00.000,http://www.elmorehospital.com/,H2601,NOT AVAILABLE,01,PROPRIETARY,-999,69,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.678833499015407e+01,
    3.346911584975599e+01
  ],
  ""type"": ""Point""
}",34,0005835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 868-2000,REHABILITATION,OPEN,100,JEFFERSON,01073,USA,33.46911585,-86.78833499,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-09-05 00:00:00.000,http://www.healthsouthlakeshorerehab.com,H3709,NOT AVAILABLE,01,PROPRIETARY,-999,100,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.536581262977001e+01,
    3.121791191034639e+01
  ],
  ""type"": ""Point""
}",35,0002236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,NOT AVAILABLE,(334) 712-6333,REHABILITATION,OPEN,51,HOUSTON,01069,USA,31.21791191,-85.36581263,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.healthsouthdothan.com,H3504,NOT AVAILABLE,01,PROPRIETARY,-999,51,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.596848843992611e+01,
    3.400674122000463e+01
  ],
  ""type"": ""Point""
}",36,0005935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,NOT AVAILABLE,(256) 439-5000,REHABILITATION,OPEN,48,ETOWAH,01055,USA,34.00674122,-85.96848844,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-09-06 00:00:00.000,http://www.healthsouthgadsden.com/,H2804,NOT AVAILABLE,01,PROPRIETARY,-999,48,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.628070979983642e+01,
    3.231910697989688e+01
  ],
  ""type"": ""Point""
}",37,0002336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 284-7700,REHABILITATION,OPEN,75,MONTGOMERY,01101,USA,32.31910698,-86.2807098,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.healthsouthmontgomery.com,H5101,NOT AVAILABLE,01,PROPRIETARY,-999,75,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.657986887038808e+01,
    3.471920942966491e+01
  ],
  ""type"": ""Point""
}",38,0090235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 535-2300,REHABILITATION,OPEN,70,MADISON,01089,USA,34.71920943,-86.57986887,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2015-02-03 00:00:00.000,NOT AVAILABLE,H4502,NOT AVAILABLE,01,PROPRIETARY,-999,70,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.679881000034044e+01,
    3.328329990031838e+01
  ],
  ""type"": ""Point""
}",39,0196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,NOT AVAILABLE,(205) 216-7600,REHABILITATION,OPEN,34,SHELBY,01117,USA,33.2832999,-86.79881,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2022-04-01 00:00:00.000,NOT AVAILABLE,H5903,NOT AVAILABLE,01,PROPRIETARY,-999,34,NOT AVAILABLE,N
