GEO,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
"{
  ""coordinates"": [
    -8.676193490000000e+01,
    3.389673845800010e+01
  ],
  ""type"": ""Point""
}",656,01265,LEGACY WOODS I,101 JACOBS LANE,HAYDEN,AL,35079,NOT AVAILABLE,(205) 647-7410,ASSISTED LIVING,OPEN,16,BLOUNT,01009,USA,33.896738458,-86.7619349,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D0501,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.686923525700000e+01,
    3.355990726200000e+01
  ],
  ""type"": ""Point""
}",657,0188,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,1250 JEFF GERMANY PARKWAY,BIRMINGHAM,AL,35214,4484,(205) 796-0214,NURSING HOME,OPEN,117,JEFFERSON,01073,USA,33.559907262,-86.869235257,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,117,-999,117,-999,CORPORATION,47-58100S,01-5445,N3747,NURSING HOME
"{
  ""coordinates"": [
    -8.813207855600000e+01,
    3.068669951100000e+01
  ],
  ""type"": ""Point""
}",661,01137,CROWNE PLACE ASSISTED LIVING,3720 DAUPHIN STREET,MOBILE,AL,36608,NOT AVAILABLE,(251) 344-3866,ASSISTED LIVING,OPEN,80,MOBILE,01097,USA,30.686699511,-88.132078556,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,80,-999,80,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D4902,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.757835535600000e+01,
    3.323823861100000e+01
  ],
  ""type"": ""Point""
}",662,01313,MARTINVIEW ASSISTED LIVING-WEST,2015 32ND STREET,NORTHPORT,AL,35476,NOT AVAILABLE,(205) 343-7335,ASSISTED LIVING,OPEN,16,TUSCALOOSA,01125,USA,33.238238611,-87.578355356,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D6310,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.678824600000000e+01,
    3.471770000000000e+01
  ],
  ""type"": ""Point""
}",664,01248,HERITAGE MEMORY CARE,11682 COUNTY LINE ROAD,MADISON,AL,35756,NOT AVAILABLE,(256) 325-3060,ASSISTED LIVING,OPEN,16,LIMESTONE,01083,USA,34.7177,-86.788246,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,P4203,ASSISTED LIVING FACILITY (SPECIALTY CARE)
"{
  ""coordinates"": [
    -8.678868943299990e+01,
    3.337762606500010e+01
  ],
  ""type"": ""Point""
}",668,01553,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,NOT AVAILABLE,(205) 987-0901,NURSING HOME,OPEN,132,JEFFERSON,01073,USA,33.377626065,-86.788689433,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,132,-999,132,-999,LIMITED LIABILITY COMPANY,47-5738,01-5145,N3739,NURSING HOME
"{
  ""coordinates"": [
    -8.730454444400000e+01,
    3.200571641900010e+01
  ],
  ""type"": ""Point""
}",669,0169,"CAMDEN NURSING FACILITY, INC.",550 PONDEROSA DRIVE,CAMDEN,AL,36726,NOT AVAILABLE,(334) 682-4231,NURSING HOME,OPEN,95,WILCOX,01131,USA,32.005716419,-87.304544444,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,95,-999,95,-999,CORPORATION,47-5717,01-5374,N6601,NURSING HOME
"{
  ""coordinates"": [
    -8.752089800000000e+01,
    3.388863700000010e+01
  ],
  ""type"": ""Point""
}",671,01492,"WALKER REHABILITATION CENTER, INC.",350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549,NOT AVAILABLE,(205) 486-2558,NURSING HOME,OPEN,59,WALKER,01127,USA,33.888637,-87.520898,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/11/2021,NOT AVAILABLE,59,-999,59,-999,CORPORATION,47-5650,01-5408,N6403,NURSING HOME
"{
  ""coordinates"": [
    -8.782467210999990e+01,
    3.064602121500010e+01
  ],
  ""type"": ""Point""
}",672,0144,"BLAKE AT MALBIS, THE",11626 US HIGHWAY 90,DAPHNE,AL,36526,NOT AVAILABLE,(251) 625-6400,ASSISTED LIVING,OPEN,80,BALDWIN,01003,USA,30.646021215,-87.82467211,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,80,-999,80,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D0221,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.819221528799990e+01,
    3.061925066700010e+01
  ],
  ""type"": ""Point""
}",675,01160,ELMCROFT OF HERITAGE WOODS,3440 HILLCREST ROAD,MOBILE,AL,36695,NOT AVAILABLE,(251) 665-9194,ASSISTED LIVING,OPEN,89,MOBILE,01097,USA,30.619250667,-88.192215288,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,89,-999,89,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D4947,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.817310095399991e+01,
    3.062497763800010e+01
  ],
  ""type"": ""Point""
}",676,01212,GORDON OAKS ASSISTED LIVING COMMUNITY,3145 KNOLLWOOD DRIVE,MOBILE,AL,36693,NOT AVAILABLE,(251) 661-7600,ASSISTED LIVING,OPEN,60,MOBILE,01097,USA,30.624977638,-88.173100954,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,60,-999,60,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D4916,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.767967523599999e+01,
    3.479994720100010e+01
  ],
  ""type"": ""Point""
}",678,01270,KEESTONE OF FLORENCE,201 NORTH CEDAR STREET,FLORENCE,AL,35630,NOT AVAILABLE,(256) 767-7676,ASSISTED LIVING,OPEN,43,LAUDERDALE,01077,USA,34.799947201,-87.679675236,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,43,-999,43,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D3904,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.678952426300000e+01,
    3.335951367100010e+01
  ],
  ""type"": ""Point""
}",679,01346,MORNINGSIDE OF RIVERCHASE,2184 PARKWAY LAKE DR.,BIRMINGHAM,AL,35244,NOT AVAILABLE,(205) 403-7400,ASSISTED LIVING,OPEN,38,SHELBY,01117,USA,33.359513671,-86.789524263,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,38,-999,38,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D5917,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.763245597799990e+01,
    3.483281724500010e+01
  ],
  ""type"": ""Point""
}",684,01197,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,NOT AVAILABLE,(256) 766-8963,NURSING HOME,OPEN,125,LAUDERDALE,01077,USA,34.832817245,-87.632455978,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,125,-999,125,-999,LIMITED LIABILITY COMPANY,47-5122,01-5147,N3905,NURSING HOME
"{
  ""coordinates"": [
    -8.752589199999990e+01,
    3.311600500000000e+01
  ],
  ""type"": ""Point""
}",687,01541,"DAFFODIL HOUSE ASSISTED LIVING, LLC",12650 OLD MARION ROAD,TUSCALOOSA,AL,35405,NOT AVAILABLE,(205) 342-0573,ASSISTED LIVING,OPEN,3,TUSCALOOSA,01125,USA,33.116005,-87.525892,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/11/2021,NOT AVAILABLE,3,-999,3,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D6317,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.836885700000001e+01,
    3.047198700000010e+01
  ],
  ""type"": ""Point""
}",690,01215,"GRAND BAY CONVALESCENT HOME, INC.",13750 HIGHWAY 90 WEST,GRAND BAY,AL,36541,NOT AVAILABLE,(251) 865-6443,NURSING HOME,OPEN,92,MOBILE,01097,USA,30.471987,-88.368857,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,92,-999,92,-999,CORPORATION,47-5211,01-5406,N4904,NURSING HOME
"{
  ""coordinates"": [
    -8.813051380800000e+01,
    3.076203780100010e+01
  ],
  ""type"": ""Point""
}",693,01362,NORTH MOBILE NURSING AND REHABILITATION CENTER,4525 ST. STEPHENS ROAD,EIGHT MILE,AL,36613,NOT AVAILABLE,(251) 452-0996,NURSING HOME,OPEN,172,MOBILE,01097,USA,30.762037801,-88.130513808,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,172,-999,172,-999,LIMITED LIABILITY COMPANY,47-5733,01-5183,N4912,NURSING HOME
"{
  ""coordinates"": [
    -8.784867180799991e+01,
    3.066022993700010e+01
  ],
  ""type"": ""Point""
}",695,0135,BALDWIN HOUSE,10171 PAPA GEORGE STREET,DAPHNE,AL,36526,NOT AVAILABLE,(251) 621-1717,ASSISTED LIVING,OPEN,44,BALDWIN,01003,USA,30.660229937,-87.848671808,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,44,-999,44,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D0220,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.703697748000000e+01,
    3.458553739900000e+01
  ],
  ""type"": ""Point""
}",696,01106,COUNTRY COTTAGE-DECATUR-MAGNOLIA,"2515 OLD MOULTON ROAD, SW",DECATUR,AL,35603,NOT AVAILABLE,(256) 301-1800,ASSISTED LIVING,OPEN,16,MORGAN,01103,USA,34.585537399,-87.03697748,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D5204,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.752873740699989e+01,
    3.321098747700010e+01
  ],
  ""type"": ""Point""
}",699,01481,TRADITIONS WAY,515 ROGER SAYERS DRIVE,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 347-0062,ASSISTED LIVING,OPEN,16,TUSCALOOSA,01125,USA,33.210987477,-87.528737407,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,P6304,ASSISTED LIVING FACILITY (SPECIALTY CARE)
"{
  ""coordinates"": [
    -8.675070507299991e+01,
    3.475489450900010e+01
  ],
  ""type"": ""Point""
}",701,01486,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",5968 WALL TRIANA HIGHWAY,MADISON,AL,35757,NOT AVAILABLE,(205) 343-7335,NURSING HOME,OPEN,155,MADISON,01089,USA,34.754894509,-86.750705073,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,155,-999,155,-999,LIMITED LIABILITY COMPANY,47-5798,01-5431,N4509,NURSING HOME
"{
  ""coordinates"": [
    -8.810290258200000e+01,
    3.065232771300000e+01
  ],
  ""type"": ""Point""
}",704,01134,CROWNE HEALTH CARE OF MOBILE,954 NAVCO ROAD,MOBILE,AL,36605,NOT AVAILABLE,(251) 473-8684,NURSING HOME,OPEN,148,MOBILE,01097,USA,30.652327713,-88.102902582,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,148,-999,148,-999,LIMITED LIABILITY COMPANY,47-5446,01-5100,N4905,NURSING HOME
"{
  ""coordinates"": [
    -8.786802897599991e+01,
    3.062380047500010e+01
  ],
  ""type"": ""Point""
}",706,0147,"BRENNITY AT DAPHNE AL, THE",27440 COUNTY ROAD 13,DAPHNE,AL,36526,NOT AVAILABLE,(251) 626-9000,ASSISTED LIVING,OPEN,92,BALDWIN,01003,USA,30.623800475,-87.868028976,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,92,-999,92,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D0217,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.679509871499990e+01,
    3.337365461400000e+01
  ],
  ""type"": ""Point""
}",707,01420,"TRUEWOOD BY MERRILL, RIVERCHASE ALF",1851 DATA DRIVE,HOOVER,AL,35244,NOT AVAILABLE,(205) 982-7000,ASSISTED LIVING,OPEN,101,JEFFERSON,01073,USA,33.373654614,-86.795098715,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,101,-999,101,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D3771,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.679706585299991e+01,
    3.334231046900000e+01
  ],
  ""type"": ""Point""
}",709,01188,GARDENS OF PELHAM,2124 OLD MONTGOMERY HIGHWAY,PELHAM,AL,35124,NOT AVAILABLE,(205) 402-9922,ASSISTED LIVING,OPEN,16,SHELBY,01117,USA,33.342310469,-86.797065853,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D5916,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.720534243400000e+01,
    3.386339604900010e+01
  ],
  ""type"": ""Point""
}",711,01465,SUNRISE MANOR II,1609 SUNRISE ROAD,JASPER,AL,35504,NOT AVAILABLE,(205) 387-7400,ASSISTED LIVING,OPEN,16,WALKER,01127,USA,33.863396049,-87.205342434,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D6411,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.678568489000000e+01,
    3.339013317700010e+01
  ],
  ""type"": ""Point""
}",712,01255,HOLLY COTTAGE AT COUNTRY COTTAGES,4000 GREENWOOD DRIVE,HOOVER,AL,35216,NOT AVAILABLE,(205) 987-0847,ASSISTED LIVING,OPEN,16,JEFFERSON,01073,USA,33.390133177,-86.78568489,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,P3702,ASSISTED LIVING FACILITY (SPECIALTY CARE)
"{
  ""coordinates"": [
    -8.816940606799990e+01,
    3.313449013000010e+01
  ],
  ""type"": ""Point""
}",717,014,ALICEVILLE MANOR NURSING HOME,"703 SEVENTEENTH STREET, NORTHWEST",ALICEVILLE,AL,35442,NOT AVAILABLE,(205) 373-6307,NURSING HOME,OPEN,100,PICKENS,01107,USA,33.13449013,-88.169406068,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,100,-999,100,-999,CORPORATION,47-5461,01-5137,N5402,NURSING HOME
"{
  ""coordinates"": [
    -8.679777000000000e+01,
    3.345746500000000e+01
  ],
  ""type"": ""Point""
}",719,0162,BROOKDALE UNIVERSITY PARK SNF (AL),501 UNIVERSITY PARK DRIVE,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 933-1828,NURSING HOME,OPEN,66,JEFFERSON,01073,USA,33.457465,-86.79777,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,66,-999,66,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,01-5423,N3710,NURSING HOME
"{
  ""coordinates"": [
    -8.681026600000000e+01,
    3.353376600000000e+01
  ],
  ""type"": ""Point""
}",720,0190,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",1201 NORTH 22ND STREET,BIRMINGHAM,AL,35234,NOT AVAILABLE,(205) 343-7335,NURSING HOME,OPEN,95,JEFFERSON,01073,USA,33.533766,-86.810266,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,95,-999,95,-999,LIMITED LIABILITY COMPANY,47-5759,01-5109,N3703,NURSING HOME
"{
  ""coordinates"": [
    -8.827829499900000e+01,
    3.250537004300000e+01
  ],
  ""type"": ""Point""
}",724,01463,SUMTER ASSISTED LIVING FACILITY,1505 EAST 4TH AVENUE,YORK,AL,36925,NOT AVAILABLE,(205) 343-7335,ASSISTED LIVING,OPEN,12,SUMTER,01119,USA,32.505370043,-88.278294999,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,12,-999,12,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D6001,ASSISTED LIVING FACILITY
